,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404,0.081831404
ISIC 05,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172,0.085094172
ISIC 06,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822,0.07996822
ISIC 07T08,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513,0.096703513
ISIC 09,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815,0.092871815
ISIC 10T12,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495,0.045394495
ISIC 13T15,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266,0.087362266
ISIC 16,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739,0.033349739
ISIC 17T18,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767,0.049453767
ISIC 19,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015,0.05351015
ISIC 20,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863,0.050919863
ISIC 21,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555,0.033253555
ISIC 22,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966,0.028313966
ISIC 231,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322,0.00839322
ISIC 239,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234,0.041604234
ISIC 241,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348,0.081550348
ISIC 242,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533,0.062854533
ISIC 25,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813,0.003976813
ISIC 26,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995,0.0288995
ISIC 27,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716,0.016849716
ISIC 28,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546,0.01449546
ISIC 29,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131,0.036471131
ISIC 30,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366,0.042171366
ISIC 31T33,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216,-0.017227216
ISIC 351,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933,0.039018933
ISIC 352T353,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094,0.016792094
ISIC 36T39,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691,0.015077691
ISIC 41T43,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502,0.052968502
ISIC 45T47,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124,0.030645124
ISIC 49T53,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079,0.078233079
ISIC 55T56,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922,0.017569922
ISIC 58T60,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666,0.099783666
ISIC 61,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433,0.139724433
ISIC 62T63,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395,0.008782395
ISIC 64T66,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875,0.262272875
ISIC 68,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296,0.018492296
ISIC 69T82,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05,-5.5028E-05
ISIC 84,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478,0.10361478
ISIC 85,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144,0.072835144
ISIC 86T88,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218,0.060185218
ISIC 90T96,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166,0.040604166
ISIC 97T98,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393,0.01851393
